"oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
0.3163,0.1393,0.1082,0.0923,0.1113
0.3154,0.1457,0.1134,0.092,0.1004
0.3143,0.1446,0.1121,0.0949,0.099
0.2921,0.1414,0.1033,0.0814,0.0982
0.313,0.1516,0.1136,0.0881,0.1034
0.3217,0.1444,0.1238,0.098,0.1169
0.3223,0.1565,0.117,0.0856,0.1091
0.304,0.1383,0.107,0.0925,0.097
0.2976,0.1395,0.1063,0.0911,0.0998
0.308,0.1431,0.1086,0.0875,0.0982
0.307,0.1419,0.1077,0.0866,0.0962
0.3148,0.1394,0.1109,0.0904,0.1072
0.3151,0.1469,0.1141,0.0952,0.1034
0.313,0.1374,0.116,0.0875,0.1015
0.3069,0.1444,0.1052,0.0868,0.1008
0.3167,0.1395,0.1126,0.0879,0.1076
0.3174,0.1461,0.1087,0.0929,0.1041
0.3172,0.1444,0.1066,0.0926,0.1031
0.3041,0.1379,0.1091,0.0891,0.1063
0.3069,0.1385,0.1157,0.0946,0.0966
0.3074,0.1443,0.1116,0.0946,0.1032
0.3075,0.1441,0.1123,0.0923,0.0997
0.3187,0.1463,0.1072,0.0914,0.1087
0.3093,0.1493,0.1112,0.0889,0.0995
0.3108,0.1412,0.1128,0.0893,0.1055
0.3149,0.1439,0.111,0.092,0.1041
0.3132,0.1418,0.109,0.0881,0.0973
0.3091,0.1459,0.106,0.0878,0.1055
0.3167,0.1513,0.1121,0.093,0.1084
0.3035,0.1383,0.107,0.0832,0.0927
0.3138,0.1458,0.1167,0.0947,0.1019
0.3103,0.1493,0.1103,0.0906,0.1039
0.3121,0.1462,0.1124,0.0931,0.1059
0.3122,0.1377,0.1092,0.0859,0.0994
0.3106,0.1506,0.115,0.0869,0.1065
0.3114,0.1424,0.1099,0.0901,0.0998
0.311,0.1441,0.1121,0.0928,0.0978
0.3129,0.1401,0.1143,0.0976,0.0954
0.3131,0.1459,0.1175,0.097,0.0976
0.3098,0.144,0.1102,0.0914,0.1038
