"cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
0.889,0.8302,0.7704,0.743,0.6527
0.8849,0.8285,0.7656,0.7294,0.6524
0.8821,0.8292,0.7609,0.7239,0.6406
0.8876,0.8332,0.7676,0.7331,0.6581
0.8819,0.8233,0.7649,0.73,0.6547
0.8881,0.8208,0.772,0.7415,0.6463
0.8899,0.8302,0.7592,0.7354,0.6449
0.8947,0.8213,0.7806,0.7457,0.6494
0.8825,0.8244,0.7654,0.7303,0.6512
0.8917,0.8416,0.7684,0.722,0.6659
0.8805,0.8275,0.7557,0.7259,0.6429
0.8937,0.8301,0.758,0.731,0.6621
0.8827,0.8294,0.7662,0.7282,0.6656
0.8895,0.8377,0.7724,0.7347,0.66
0.8943,0.823,0.763,0.7346,0.6548
0.8865,0.8301,0.7595,0.7393,0.6541
0.8829,0.8288,0.7589,0.7131,0.6427
0.8943,0.829,0.7483,0.7238,0.6549
0.8889,0.8332,0.7572,0.7276,0.6545
0.8867,0.8287,0.7666,0.7371,0.6456
0.887,0.8286,0.7675,0.7265,0.6653
0.8828,0.828,0.7639,0.723,0.6506
0.89,0.8332,0.764,0.7259,0.6534
0.8855,0.8309,0.7731,0.7359,0.659
0.8888,0.8268,0.7521,0.7132,0.6476
0.897,0.8329,0.7665,0.7299,0.6614
0.8904,0.8272,0.7609,0.7454,0.6566
0.8899,0.8318,0.763,0.7181,0.6464
0.8877,0.8328,0.7647,0.7329,0.6658
0.89,0.8256,0.7647,0.7185,0.6516
0.8881,0.8312,0.7752,0.7368,0.6527
0.8936,0.8293,0.7583,0.7324,0.6557
0.8827,0.8345,0.7665,0.7463,0.6581
0.889,0.831,0.7604,0.7331,0.6539
0.8882,0.8331,0.7753,0.732,0.6441
0.8887,0.8317,0.7688,0.7361,0.6413
0.8908,0.8308,0.7729,0.7331,0.6435
0.8882,0.8373,0.7643,0.7189,0.6532
0.8853,0.8243,0.7627,0.7262,0.6529
0.8951,0.83,0.7779,0.7425,0.6532
0.8914,0.8273,0.7739,0.7306,0.6602
0.8922,0.8289,0.7653,0.718,0.6434
0.8889,0.8316,0.7629,0.7174,0.6566
0.8899,0.8235,0.7459,0.7304,0.6477
0.8906,0.829,0.7715,0.7318,0.6408
0.8928,0.8343,0.7773,0.7264,0.6453
0.8896,0.825,0.7676,0.7408,0.6535
0.8817,0.8161,0.7708,0.7407,0.6475
0.8865,0.8322,0.7628,0.7268,0.6533
0.8838,0.8304,0.765,0.7266,0.6539
0.8888,0.8294,0.7741,0.7467,0.6551
0.8868,0.8304,0.7687,0.7311,0.6571
0.8928,0.8344,0.7655,0.7208,0.6513
0.894,0.8278,0.7643,0.7497,0.6475
0.8907,0.8363,0.765,0.7184,0.6532
0.8918,0.8249,0.7675,0.7434,0.6649
0.8893,0.8331,0.7633,0.729,0.6614
0.8864,0.8271,0.7574,0.7405,0.6569
0.8889,0.8257,0.7649,0.7306,0.6485
0.8851,0.8299,0.7612,0.7392,0.6528
0.8895,0.8327,0.7612,0.7318,0.6598
0.8881,0.8275,0.7595,0.7326,0.6643
0.887,0.8199,0.7659,0.7452,0.6584
0.8877,0.8291,0.7711,0.7318,0.6579
0.8907,0.8332,0.7717,0.7308,0.6435
0.887,0.8362,0.7681,0.7141,0.6624
0.8868,0.8346,0.7717,0.7285,0.6571
0.8866,0.8478,0.7712,0.7295,0.6586
0.8851,0.8367,0.7596,0.724,0.6566
0.8924,0.8275,0.7634,0.7369,0.6465
0.8889,0.8252,0.7698,0.7369,0.6465
0.8857,0.8237,0.7631,0.7296,0.6468
0.8874,0.836,0.7631,0.7212,0.6583
0.8886,0.8288,0.7598,0.7393,0.6455
0.8903,0.8309,0.7669,0.7454,0.6552
0.8911,0.8323,0.766,0.7127,0.6376
0.8919,0.8284,0.7708,0.733,0.6528
0.8896,0.8358,0.7762,0.7496,0.6447
0.8909,0.8308,0.7733,0.7411,0.6612
0.8874,0.8305,0.7705,0.7253,0.6666
0.8928,0.8392,0.782,0.7384,0.6466
0.8936,0.8293,0.7607,0.7248,0.6455
0.8936,0.8302,0.7541,0.7269,0.6511
0.8842,0.8232,0.7742,0.7447,0.6417
0.892,0.8374,0.7665,0.72,0.6511
0.8874,0.8341,0.7653,0.7376,0.6526
0.8888,0.829,0.7651,0.7231,0.6579
0.8896,0.8327,0.7656,0.7409,0.6468
0.8864,0.8244,0.7557,0.7312,0.6454
0.8864,0.8309,0.7653,0.7453,0.651
0.8853,0.8265,0.761,0.7196,0.6393
0.882,0.8372,0.7636,0.7381,0.6509
0.886,0.8326,0.7634,0.7262,0.6567
0.8924,0.8278,0.7768,0.7341,0.6512
0.8888,0.8371,0.7765,0.7303,0.6528
0.8922,0.8281,0.7701,0.7254,0.6396
0.8859,0.8327,0.7545,0.7126,0.6439
0.8855,0.8283,0.7585,0.7197,0.6486
0.8874,0.8373,0.7785,0.747,0.6588
0.8871,0.8245,0.7654,0.7396,0.6496
0.8925,0.8298,0.7648,0.7316,0.6528
0.8913,0.8328,0.7714,0.7341,0.6483
0.8917,0.8398,0.767,0.7295,0.658
0.8946,0.8243,0.7637,0.7409,0.6479
0.8866,0.8285,0.7625,0.7335,0.6477
0.8821,0.8393,0.7597,0.7308,0.6577
0.889,0.8297,0.7626,0.728,0.6404
0.8889,0.8292,0.7608,0.7211,0.6563
0.8915,0.8323,0.7632,0.7379,0.6557
0.889,0.8335,0.7667,0.7365,0.6649
0.8886,0.8249,0.7621,0.7424,0.6599
0.8866,0.8329,0.7625,0.7235,0.6477
0.891,0.8308,0.7663,0.7478,0.6492
0.8817,0.826,0.7534,0.7382,0.6484
0.8905,0.8291,0.7744,0.7334,0.6462
