nhits,uid,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,multiplier,omegaS0,pR,pT,rho,sageA15,sigma,theta,zeta
3,fc8134f443f9767dc3c4d2235a6daf0c,0.176348840629606,1.73684327323424,0.267013715641178,0.683992410978687,0.838810193879748,0.446776659433148,0.121071769756565,0.124919414041329,0.0162524648384724,0.839149977738755,0.0268331444020006,0.744909079359628,0.000692122946858601,0.01951579365637,0.672729010630322,0.000851852308644747,0.105222578359929,1.3085393069744
3,3984994ecdf2957da63adcc967050916,0.144810662544767,1.81155914043803,0.0891558660348856,0.610139895847754,0.409631407732173,0.518362530679458,0.128304453701165,0.169363492217292,0.00800195838999779,1.40649819363265,0.0299293635869047,0.71625175691443,0.000676003349175443,0.0208607427922472,0.65664357073619,0.000831124592606565,0.0974059090649159,1.15528474651872
3,96026201d7e51bb30a4aa83a3baa9c66,0.186413042331,1.93432781021881,0.280503180273795,0.405464880106966,0.466294767598769,0.470289920965722,0.119625891010136,0.17069756564664,0.00931634560978524,0.530889899690829,0.0262683112472507,0.697264703910537,0.000734675457935329,0.0184647847982801,0.61170450500806,0.000975119017236956,0.109702364199927,1.31735704423568
3,3eb8e2156c497011128f2a81fdf3d3c9,0.109323145286539,1.92971082615362,0.380851047717718,0.483980010131813,0.428543609608208,0.560370554398512,0.0733786416237812,0.14311416477459,0.00893660146270879,0.467521168613662,0.0276956977303123,0.681377848224595,0.000601207646833046,0.0190694078286035,0.628821506347967,0.00104379787637311,0.09640835596289,1.16033855200732
3,e57112da1398b87825ae0d32c9fc8651,0.160456838920665,1.57822637114493,0.0886665964327408,0.927122377713903,0.935426160843942,0.762331111016311,0.0518719274375577,0.124670228024456,0.00841172506267696,0.858691568341567,0.0261313525380853,0.736782136299299,0.000611619643078939,0.020664046377152,0.815369861652809,0.00100456923399564,0.107295091154007,1.23546072349958
3,1588608e78ed1dd4f77e04379a88255f,0.113260610331063,1.67829794439837,0.156440028347477,0.417414966771722,0.661559805027428,0.858906155329663,0.0350983027697488,0.138397613500047,0.0183781066285621,0.0124800832257164,0.0290516786623338,0.731794928186113,0.000708022285125197,0.0186267067467509,0.801669506876515,0.000926334401292349,0.0951247013923235,1.29053967227662
3,83d8345f0d275f2e48d3c8efcc73adf5,0.163584464402879,1.85295913434783,0.117876948520167,0.341953266927519,0.484226060268531,0.717533028365433,0.132270631454589,0.126547497599896,0.00659089566806745,1.55773100848856,0.0357740680531061,0.641461838409779,0.00061136553130797,0.0229988953501873,0.694329254154771,0.000853060405853448,0.0991520578295851,1.16139513555336
3,242e997c6f82378576283abeffe0b799,0.184828221209906,1.97858459199932,0.18151358086965,0.958576972117567,0.444441532653741,0.537787263759831,0.089774845864349,0.147306280023059,0.00868192357430458,0.524526009728694,0.0301701881835563,0.699163585229874,0.000823033058445958,0.0157730987650463,0.943412533018578,0.00104075412667231,0.100676708205622,1.19817594937026
3,767fb72bab088ea16c288d0fe5780e00,0.180309415592952,1.77480816586297,0.526237020597398,0.416669231930292,0.717211288799179,0.942897943260404,0.00383075521111804,0.1241043131959,0.0156414270072032,1.17382916942802,0.0275082603682516,0.689118953312347,0.000610088127836883,0.0213582902653787,0.771138181772132,0.00101276654155968,0.102977066455405,1.07670395606092
3,177d989de297e878945d7cecf1676656,0.14628689850652,1.66005155237508,0.136978569742735,0.710462172739995,0.588821531204266,0.381872906220071,0.115573335219558,0.157698387459841,0.0178230711160608,1.70903644860511,0.0359584496655738,0.758452088404501,0.000666908462351154,0.0227782472883973,0.858381944566439,0.00107545892924673,0.10420858222568,1.25662170281651
3,90bdb852edcdc31e345fe04d8df1643f,0.187783889054936,1.89445003718216,0.0854953807961956,0.790906222782646,0.748883547319247,0.803700227437122,0.103559182712289,0.125320074619057,0.0116476718808185,1.42345291045092,0.0357063977046677,0.727405794415793,0.000842373508391426,0.0193371656607306,0.759197296933068,0.000793167773901044,0.094684842586419,1.30770498269604
3,5e82d8fe08ed34a9b38147002c0e5a90,0.137040565805595,1.95616576239384,0.573710207330704,0.348234150818143,0.459728221591609,0.473821985616558,0.0477403932654594,0.142500141418099,0.0179114923085332,1.48495693812206,0.0332065651629225,0.679207381967571,0.000599598322015847,0.0225736289506871,0.738041974905758,0.00111457136582392,0.0985207941669453,1.14366952474308
3,37363d458b9e537209f1047cb5dce31b,0.118230480085262,1.43405358158105,0.517369798282284,0.390855409869543,0.598310934774027,0.8871772193752,0.106492017796047,0.135870077962648,0.00930177531814017,0.827530207497482,0.0300700509723746,0.675099130446419,0.000626246489321139,0.0179035307774222,0.69686583540503,0.000899738558909565,0.0983356086298754,1.26665341827981
3,9006ffef22726b24063f4b4649549c38,0.162349350330899,1.4655540641604,0.199038833609147,0.474892075540483,0.495890269401035,0.818969236122305,0.0722462283952675,0.127174721472144,0.0123152017759085,1.39065092942991,0.0353194683047492,0.632986472065198,0.000672125862831035,0.0167845210186301,0.597855943859865,0.00083831432029814,0.0965294212258809,1.32550156203169
3,6370d13685105ae87ff5ae5071edf87d,0.130572328217404,1.41464968150324,0.552538937007128,0.527810598671946,0.827830720421217,0.967730276506511,0.0573337019646476,0.160477887552592,0.0153084989112258,1.54028320378288,0.0344873262978744,0.760911686671178,0.000726712734280786,0.0172500820079247,0.814160486873696,0.000808029099119551,0.108729202418472,1.26019022402961
3,1f92f12689d658ceb5b9fb7e4b3517a3,0.169901454729803,1.97680208318502,0.329825383423093,0.76216691674363,0.662775875998612,0.877746515234543,0.114738903591983,0.1378586909137,0.0122246715181511,0.766107414483761,0.0312012240405136,0.685720999383627,0.000765415723812652,0.0189450783355087,0.890559862709715,0.00111094696678119,0.105461381540471,1.25023199645072
3,a38a42b3994086d6b43f2b5b647cfb72,0.144907322581374,1.72729427111484,0.552167170277761,0.434611474222191,0.737313847619925,0.924993113283902,0.00464838093439308,0.129549071759013,0.0130009091057093,1.82198200782707,0.028780574338851,0.656403202593441,0.000594976242551044,0.0188963298432605,0.783528947419809,0.00076537825750227,0.106175708258657,1.06397263006373
3,7f93cf139f1a111ab34234d70e7994a0,0.15689294146538,1.90698351773822,0.371831025636806,0.373762222990372,0.736326422636167,0.664523781440291,0.0811756654537528,0.140475756024935,0.0115637106065113,1.1055824901636,0.0337680361930661,0.624609347521762,0.000643717769250913,0.0212076216743127,0.855892267765064,0.000874724903304499,0.109247846289314,1.24284048850076
3,abb94f064e4d1dce523c63edb1fbf5c9,0.175834425693848,1.70742277869698,0.140238583586516,0.718180662082727,0.413418623195982,0.320680662933737,0.0378929466939565,0.134611460810003,0.0126777230193838,1.60329647731816,0.028199435937517,0.661802314225435,0.000712910199063574,0.0156357228840415,0.842148149038335,0.000774548571921436,0.103512281938005,1.26866976575984
3,9e56abafaa467254d87a345da059aaf7,0.122692408548762,1.77476355721568,0.344752570653119,0.947402523960632,0.55236168592953,0.260680017104314,0.0398318756550009,0.149196339492755,0.015622008215294,0.892276933253384,0.0361291472417885,0.662115425825197,0.000656641717884382,0.0165093496655956,0.95681652375171,0.000955783069823642,0.106636440053483,1.27622347009114
3,92a347c1d20e3ce3f6b040002c1dd7dc,0.168348055161455,1.90607778419244,0.0985313566258886,0.898047802767353,0.93202437073302,0.639899595020548,0.116144510686874,0.161479600751074,0.00954780640302077,1.24335759270879,0.035841065325587,0.721686582161903,0.000730727057572172,0.0203127050845822,0.697314766754406,0.00102722303228493,0.0932024330389264,1.07994517289689
3,52e8ecc44ce1bd97d7e925165e7dddb8,0.185974438503259,1.82900116018213,0.0731863543105462,0.531349850908823,0.773445818891031,0.582285635611576,0.018167667602124,0.175617618587879,0.0172330067503864,0.571047000394869,0.0346051244562948,0.690474839048997,0.000736074182160119,0.0184417087004076,0.741662990807201,0.00091863691397744,0.107593393865966,1.17414410439592
3,178c3a1cedc9f12d34e9d9c449fb1f10,0.18244903028384,1.80497079239566,0.19244928412645,0.550835722077212,0.925637922100503,0.228052226755163,0.043110479360775,0.157807065740318,0.00450508241322972,1.05895238741332,0.0321931359678069,0.659521739264338,0.000642314872728611,0.017987891556436,0.601652290536661,0.000986947763547594,0.108466153971228,1.28089065240604
3,687fee3912ec471d511efb17e49a0cab,0.131263452416298,1.94155185687299,0.292862886637552,0.513792599784815,0.616018584380601,0.921616582600726,0.00539079764806119,0.171315364372184,0.0112627167032003,1.08793248275741,0.0318517210548419,0.705058334868539,0.000604674824090277,0.0220725386983974,0.696305800014135,0.0010991690259753,0.0985068991501497,1.00291761505261
3,b04ddbdfb256b7819eed2fe18702f4df,0.168330792398374,1.99687918532456,0.107633104155627,0.89868096156967,0.785503711667897,0.987707292611198,0.099716976841164,0.130292313972203,0.0192717894026089,0.203334027227315,0.0276882244829451,0.775002209110276,0.000811465586283748,0.0194063539587425,0.788651916305936,0.000973401034035169,0.103457915035196,1.19311236240575
3,4badef5ad41c3502c7b0390bbf912835,0.181904456064517,1.98489266734382,0.318619381236332,0.418389813628383,0.488456890415676,0.623970373265352,0.0772615039289691,0.15589879042245,0.0125402212192852,1.3161462410559,0.0334323837068483,0.661172021905679,0.000685656593012757,0.0214185322786534,0.815316324381246,0.0010323808479847,0.105695998770409,1.13854810447017
3,415fc5605b1a7020239b0c86a57fafe6,0.166494832704722,1.96039658345876,0.325223061022261,0.425515828025646,0.550378178428879,0.377233626019675,0.0984602610389142,0.169110460767268,0.00651924105470292,0.642915669985774,0.0280589393967298,0.696043873855546,0.000705402478753219,0.0217656945144583,0.844355146775122,0.000711656499032766,0.0994074023316984,1.11948401821952
