"country","code","age","lx","lx_sum","lx_per"
"Burkina Faso","BFA",81,4728.30862574595,28988.082,0.163112158498308
"Burkina Faso","BFA",82,4145.49147701225,28988.082,0.143006752810077
"Burkina Faso","BFA",83,3571.62963107957,28988.082,0.123210277626494
"Burkina Faso","BFA",84,3015.67839074892,28988.082,0.104031663452205
"Burkina Faso","BFA",85,2489.57815975497,28988.082,0.0858828176267395
"Burkina Faso","BFA",86,2008.25444276609,28988.082,0.06927862432451
"Burkina Faso","BFA",87,1582.18329973815,28988.082,0.0545804755119069
"Burkina Faso","BFA",88,1217.39134591455,28988.082,0.0419962709473
"Burkina Faso","BFA",89,915.455751826241,28988.082,0.0315804181810387
"Burkina Faso","BFA",90,673.504243291678,2108.789,0.319379626549493
"Burkina Faso","BFA",91,484.215101416854,2108.789,0.229617615331289
"Burkina Faso","BFA",92,340.210193931693,2108.789,0.161329651250881
"Burkina Faso","BFA",93,234.054975190053,2108.789,0.110990229553575
"Burkina Faso","BFA",94,158.258486169722,2108.789,0.0750470939338749
"Burkina Faso","BFA",95,105.273354472424,2108.789,0.0499212365354827
"Burkina Faso","BFA",96,67.4957943238154,2108.789,0.0320068979512959
"Burkina Faso","BFA",97,38.8427771044196,2108.789,0.018419470655632
"Burkina Faso","BFA",98,14.7520313496305,2108.789,0.00699549900422968
"Burkina Faso","BFA",99,-7.81795725028971,2108.789,-0.00370732076575215
"Burundi","BDI",80,5831.45785470439,35720.074,0.163254360970932
"Burundi","BDI",81,5301.94443811494,35720.074,0.148430387857397
"Burundi","BDI",82,4774.06406401942,35720.074,0.133652132524121
"Burundi","BDI",83,4251.08281740569,35720.074,0.119011030531619
"Burundi","BDI",84,3737.89982575556,35720.074,0.104644235220665
"Burundi","BDI",85,3241.04725904476,35720.074,0.0907346177122914
"Burundi","BDI",86,2768.69032974294,35720.074,0.077510766907788
"Burundi","BDI",87,2327.78108063689,35720.074,0.0651673084618159
"Burundi","BDI",88,1924.05838483053,35720.074,0.0538649047824069
"Burundi","BDI",89,1562.04794574489,35720.074,0.0437302550309635
"Burundi","BDI",90,1245.06229711817,4791.136,0.259867867895666
"Burundi","BDI",91,975.200803005639,4791.136,0.203542709496378
"Burundi","BDI",92,752.090039346564,4791.136,0.156975305928816
"Burundi","BDI",93,572.883793964135,4791.136,0.119571599295895
"Burundi","BDI",94,432.263066565497,4791.136,0.0902214144130947
"Burundi","BDI",95,322.436068741741,4791.136,0.0672984588084623
"Burundi","BDI",96,233.138223967907,4791.136,0.0486603227226084
"Burundi","BDI",97,156.157871024025,4791.136,0.0325930783480212
"Burundi","BDI",98,85.33626399512,4791.136,0.0178112798290677
"Burundi","BDI",99,16.5675722712072,4791.136,0.00345796326199198
"Cambodia","KHM",80,7768.46335870984,48947.081,0.158711473697683
"Cambodia","KHM",81,7099.28582571204,48947.081,0.145040024464626
"Cambodia","KHM",82,6431.92012778228,48947.081,0.131405591434192
"Cambodia","KHM",83,5769.98993505663,48947.081,0.117882207011622
"Cambodia","KHM",84,5118.93075273921,48947.081,0.104580919804783
"Cambodia","KHM",85,4485.98992110217,48947.081,0.0916497946241609
"Cambodia","KHM",86,3880.2266154857,48947.081,0.0792739124828649
"Cambodia","KHM",87,3309.67675219881,48947.081,0.067617448979211
"Cambodia","KHM",88,2781.35298851934,48947.081,0.0568236742967234
"Cambodia","KHM",89,2301.24472269398,48947.081,0.0470149532041345
"Cambodia","KHM",90,1874.31809393822,7699.878,0.243421791090485
"Cambodia","KHM",91,1504.51598243639,7699.878,0.195394781896076
"Cambodia","KHM",92,1192.39228123106,7699.878,0.154858594023316
"Cambodia","KHM",93,935.111896223027,7699.878,0.121445027599532
"Cambodia","KHM",94,726.450746171299,7699.878,0.0943457475782472
"Cambodia","KHM",95,556.795762693133,7699.878,0.0723122837391882
"Cambodia","KHM",96,413.144890264008,7699.878,0.0536560306882795
"Cambodia","KHM",97,285.096484464307,7699.878,0.0370261041102608
