county,code,Variant,Time,MidPeriod,SexID,Sex,AgeGrp,AgeGrpStart,AgeGrpSpan,mx,qx,px,lx,dx,Lx,Sx,Tx,ex,ax
Angola,AGO,Medium,2025-2030,2028,3,Total,35-39,35,5,0.00416199,0.02060413,0.97939587,88046.947,1814.131,435880.73,0.97633273,3157172.2,35.8578,2.59995
Angola,AGO,Medium,2025-2030,2028,3,Total,40-44,40,5,0.00551567,0.02722018,0.97277982,86232.816,2347.273,425564.62,0.96808536,2721291.5,31.5575,2.614484
Angola,AGO,Medium,2025-2030,2028,3,Total,45-49,45,5,0.0076192,0.03741981,0.96258019,83885.543,3138.981,411982.88,0.95505861,2295726.9,27.3674,2.628264
Angola,AGO,Medium,2025-2030,2028,3,Total,50-54,50,5,0.01101714,0.05368512,0.94631488,80746.562,4334.889,393467.8,0.93553846,1883744,23.3291,2.632001
Angola,AGO,Medium,2025-2030,2028,3,Total,55-59,55,5,0.01602976,0.07722149,0.92277851,76411.674,5900.623,368104.26,0.90469905,1490276.2,19.5033,2.635147
Angola,AGO,Medium,2025-2030,2028,3,Total,60-64,60,5,0.02474079,0.11685072,0.88314928,70511.05,8239.267,333023.57,0.85661534,1122171.9,15.9148,2.62944
Angola,AGO,Medium,2025-2030,2028,3,Total,65-69,65,5,0.03821263,0.17505578,0.82494422,62271.784,10901.036,285273.1,0.78460192,789148.34,12.6726,2.607033
Angola,AGO,Medium,2025-2030,2028,3,Total,70-74,70,5,0.06060265,0.26404985,0.73595015,51370.748,13564.438,223825.82,0.68068773,503875.24,9.8086,2.56511
Angola,AGO,Medium,2025-2030,2028,3,Total,75-79,75,5,0.09574796,0.38585429,0.61414571,37806.31,14587.727,152355.49,0.54881802,280049.42,7.4075,2.485828
Angola,AGO,Medium,2025-2030,2028,3,Total,80-84,80,5,0.14749456,0.53116171,0.46883829,23218.583,12332.822,83615.438,0.40241299,127693.93,5.4996,2.366582
Angola,AGO,Medium,2025-2030,2028,3,Total,85-89,85,5,0.22057953,0.68181237,0.31818763,10885.761,7422.046,33647.938,0.26497779,44078.489,4.0492,2.200117
Angola,AGO,Medium,2025-2030,2028,3,Total,90-94,90,5,0.31306926,0.80587239,0.19412761,3463.714,2791.312,8915.956,0.15585119,10430.551,3.0114,1.989725
Angola,AGO,Medium,2025-2030,2028,3,Total,95-99,95,5,0.43299882,0.89481939,0.10518061,672.403,601.679,1389.562,0.08255147,1514.594,2.2525,1.721755
Angola,AGO,Medium,2025-2030,2028,3,Total,100+,100,-1,0.56564493,,,70.724,70.724,125.032,,125.032,1.7679,1.767894
Argentina,ARG,Medium,2025-2030,2028,3,Total,0,0,1,0.00798504,0.00792623,0.99207377,100000,792.623,99263.479,0.99155315,7791230.4,77.9123,0.07078
Argentina,ARG,Medium,2025-2030,2028,3,Total,4-Jan,1,4,0.00032839,0.00131251,0.99868749,99207.377,130.211,396513.1,0.99883887,7691967,77.5342,1.569995
Argentina,ARG,Medium,2025-2030,2028,3,Total,9-May,5,5,0.00014937,0.00074657,0.99925343,99077.167,73.968,495200.91,0.99919121,7295453.9,73.6341,2.5
Argentina,ARG,Medium,2025-2030,2028,3,Total,14-Oct,10,5,0.00019782,0.00098867,0.99901133,99003.199,97.882,494800.4,0.99808251,6800252.9,68.6872,2.797393
Argentina,ARG,Medium,2025-2030,2028,3,Total,15-19,15,5,0.00062383,0.00311492,0.99688508,98905.317,308.082,493851.62,0.99612646,6305452.5,63.7524,2.809146
Argentina,ARG,Medium,2025-2030,2028,3,Total,20-24,20,5,0.00087787,0.00438004,0.99561996,98597.235,431.86,491938.67,0.99552953,5811600.9,58.9428,2.574431
Argentina,ARG,Medium,2025-2030,2028,3,Total,25-29,25,5,0.00089959,0.00448796,0.99551204,98165.375,440.562,489739.48,0.99522476,5319662.3,54.1908,2.531786
Argentina,ARG,Medium,2025-2030,2028,3,Total,30-34,30,5,0.00103181,0.00514614,0.99485386,97724.813,502.905,487400.85,0.99436233,4829922.8,49.4237,2.567705
Argentina,ARG,Medium,2025-2030,2028,3,Total,35-39,35,5,0.00125795,0.00627088,0.99372912,97221.908,609.667,484653.04,0.99258925,4342521.9,44.6661,2.611
Argentina,ARG,Medium,2025-2030,2028,3,Total,40-44,40,5,0.00178015,0.00886388,0.99113612,96612.241,856.36,481061.4,0.98880568,3857868.9,39.9315,2.664766
Argentina,ARG,Medium,2025-2030,2028,3,Total,45-49,45,5,0.00282402,0.01402856,0.98597144,95755.881,1343.317,475676.25,0.982085,3376807.5,35.2648,2.68993
Argentina,ARG,Medium,2025-2030,2028,3,Total,50-54,50,5,0.0045567,0.02254659,0.97745341,94412.564,2128.681,467154.51,0.97077429,2901131.2,30.7282,2.6942
Argentina,ARG,Medium,2025-2030,2028,3,Total,55-59,55,5,0.00750738,0.0368928,0.9631072,92283.883,3404.611,453501.59,0.95449093,2433976.7,26.3749,2.674381
Argentina,ARG,Medium,2025-2030,2028,3,Total,60-64,60,5,0.01134414,0.05524863,0.94475137,88879.272,4910.458,432863.15,0.93167361,1980475.1,22.2828,2.651297
Argentina,ARG,Medium,2025-2030,2028,3,Total,65-69,65,5,0.01738408,0.08349261,0.91650739,83968.814,7010.775,403287.18,0.89826073,1547612,18.4308,2.638365
Argentina,ARG,Medium,2025-2030,2028,3,Total,70-74,70,5,0.02622448,0.12344394,0.87655606,76958.039,9500.003,362257.03,0.84679005,1144324.8,14.8695,2.628089
Argentina,ARG,Medium,2025-2030,2028,3,Total,75-79,75,5,0.04178881,0.19002856,0.80997144,67458.035,12818.953,306755.65,0.7607512,782067.77,11.5934,2.618017
Argentina,ARG,Medium,2025-2030,2028,3,Total,80-84,80,5,0.07018007,0.29974064,0.70025936,54639.082,16377.553,233364.73,0.63299213,475312.12,8.6991,2.567971
Argentina,ARG,Medium,2025-2030,2028,3,Total,85-89,85,5,0.1168267,0.45103819,0.54896181,38261.529,17257.41,147718.04,0.47125339,241947.39,6.3235,2.474151
Argentina,ARG,Medium,2025-2030,2028,3,Total,90-94,90,5,0.18894153,0.62619703,0.37380297,21004.118,13152.716,69612.626,0.30199969,94229.353,4.4862,2.307935
Argentina,ARG,Medium,2025-2030,2028,3,Total,95-99,95,5,0.2960351,0.79266653,0.20733347,7851.402,6223.543,21022.992,0.14598753,24616.727,3.1353,2.070155
Argentina,ARG,Medium,2025-2030,2028,3,Total,100+,100,-1,0.45297117,,,1627.858,1627.858,3593.735,,3593.735,2.2076,2.207646
Armenia,ARM,Medium,2025-2030,2028,3,Total,0,0,1,0.00837313,0.00830855,0.99169145,100000,830.855,99228.735,0.99089587,7624322.5,76.2432,0.071722
Armenia,ARM,Medium,2025-2030,2028,3,Total,4-Jan,1,4,0.00047506,0.00189804,0.99810196,99169.145,188.227,396219.2,0.99850367,7525093.7,75.8814,1.570058
Armenia,ARM,Medium,2025-2030,2028,3,Total,9-May,5,5,0.0001601,0.0008002,0.9991998,98980.917,79.204,494706.58,0.99913324,7128874.5,72.0227,2.5
Armenia,ARM,Medium,2025-2030,2028,3,Total,14-Oct,10,5,0.00020781,0.00103855,0.99896145,98901.713,102.714,494277.78,0.99819071,6634168,67.0784,2.753154
Armenia,ARM,Medium,2025-2030,2028,3,Total,15-19,15,5,0.00054079,0.00270062,0.99729938,98798.999,266.818,493383.49,0.99712322,6139890.2,62.1453,2.708164
Armenia,ARM,Medium,2025-2030,2028,3,Total,20-24,20,5,0.00056748,0.00283339,0.99716661,98532.18,279.18,491964.14,0.99722149,5646506.7,57.3062,2.504243
Armenia,ARM,Medium,2025-2030,2028,3,Total,25-29,25,5,0.00055506,0.00277154,0.99722846,98253,272.312,490597.21,0.99689362,5154542.5,52.4619,2.547689
Armenia,ARM,Medium,2025-2030,2028,3,Total,30-34,30,5,0.00071742,0.00358104,0.99641896,97980.689,350.872,489073.23,0.99568604,4663945.3,47.6007,2.633848
Armenia,ARM,Medium,2025-2030,2028,3,Total,35-39,35,5,0.00106287,0.00530142,0.99469858,97629.816,517.577,486963.38,0.99266403,4174872.1,42.7623,2.709136
Armenia,ARM,Medium,2025-2030,2028,3,Total,40-44,40,5,0.00197861,0.00984881,0.99015119,97112.24,956.44,483391.04,0.98714723,3687908.7,37.9757,2.731002
Armenia,ARM,Medium,2025-2030,2028,3,Total,45-49,45,5,0.00328565,0.01630523,0.98369477,96155.799,1567.842,477178.12,0.97877684,3204517.7,33.3263,2.703295
Armenia,ARM,Medium,2025-2030,2028,3,Total,50-54,50,5,0.00542524,0.02678845,0.97321155,94587.957,2533.864,467050.89,0.96720316,2727339.6,28.8339,2.675925
Armenia,ARM,Medium,2025-2030,2028,3,Total,55-59,55,5,0.00807084,0.03960568,0.96039432,92054.093,3645.865,451733.1,0.95053796,2260288.7,24.5539,2.658344
Armenia,ARM,Medium,2025-2030,2028,3,Total,60-64,60,5,0.01257638,0.06108216,0.93891784,88408.228,5400.166,429389.46,0.92440514,1808555.6,20.4569,2.657169
Armenia,ARM,Medium,2025-2030,2028,3,Total,65-69,65,5,0.01946137,0.09306082,0.90693918,83008.062,7724.798,396929.83,0.88164645,1379166.1,16.6148,2.65554
Armenia,ARM,Medium,2025-2030,2028,3,Total,70-74,70,5,0.03223408,0.14983904,0.85016096,75283.264,11280.372,349951.77,0.80598387,982236.29,13.0472,2.653929
Armenia,ARM,Medium,2025-2030,2028,3,Total,75-79,75,5,0.05624029,0.24784633,0.75215367,64002.892,15862.882,282055.48,0.6908927,632284.52,9.879,2.607057
Armenia,ARM,Medium,2025-2030,2028,3,Total,80-84,80,5,0.09456613,0.38280236,0.61719764,48140.01,18428.109,194870.07,0.54310624,350229.04,7.2752,2.51304
Armenia,ARM,Medium,2025-2030,2028,3,Total,85-89,85,5,0.15414377,0.54906718,0.45093282,29711.901,16313.83,105835.15,0.37297067,155358.96,5.2288,2.381096
Armenia,ARM,Medium,2025-2030,2028,3,Total,90-94,90,5,0.24559828,0.72358185,0.27641815,13398.071,9694.601,39473.408,0.22503294,49523.807,3.6963,2.161621
Armenia,ARM,Medium,2025-2030,2028,3,Total,95-99,95,5,0.35166006,0.84346085,0.15653915,3703.47,3123.732,8882.817,0.11617271,10050.399,2.7138,1.915698
Armenia,ARM,Medium,2025-2030,2028,3,Total,100+,100,-1,0.49652872,,,579.738,579.738,1167.582,,1167.582,2.014,2.013982
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,0,0,1,0.01719007,0.01692694,0.98307306,100000,1692.694,98469.294,0.98161467,7386813,73.8681,0.095699
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,4-Jan,1,4,0.00092714,0.00370015,0.99629985,98307.306,363.752,392338.04,0.99696291,7288343.7,74.1384,1.550018
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,9-May,5,5,0.00032786,0.00163794,0.99836206,97943.554,160.425,489316.71,0.99849937,6896005.7,70.408,2.5
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,14-Oct,10,5,0.00028742,0.00143614,0.99856386,97783.129,140.431,488582.43,0.99785942,6406689,65.5194,2.627155
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,15-19,15,5,0.00060534,0.00302251,0.99697749,97642.699,295.126,487536.58,0.99646479,5918106.6,60.6098,2.706354
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,20-24,20,5,0.00077861,0.00388565,0.99611435,97347.573,378.259,485813.04,0.99606263,5430570,55.7854,2.555041
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,25-29,25,5,0.00079455,0.00396499,0.99603501,96969.314,384.482,483900.21,0.99572788,4944756.9,50.993,2.538619
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,30-34,30,5,0.00094466,0.00471263,0.99528737,96584.831,455.168,481832.93,0.99447807,4460856.7,46.1859,2.602585
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,35-39,35,5,0.00131242,0.00654196,0.99345804,96129.663,628.876,479172.28,0.99194074,3979023.8,41.3923,2.652901
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,40-44,40,5,0.00199395,0.00992398,0.99007602,95500.787,947.748,475310.51,0.9872268,3499851.5,36.6474,2.685641
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,45-49,45,5,0.00326379,0.01619727,0.98380273,94553.039,1531.501,469239.27,0.97916895,3024541,31.9878,2.697731
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,50-54,50,5,0.0053221,0.02628764,0.97371236,93021.539,2445.316,459464.53,0.96632046,2555301.7,27.47,2.692255
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,55-59,55,5,0.00866189,0.04245921,0.95754079,90576.222,3845.794,443989.97,0.94532816,2095837.2,23.1389,2.688087
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,60-64,60,5,0.01431497,0.06927469,0.93072531,86730.428,6008.224,419716.22,0.91104785,1651847.2,19.0458,2.680526
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,65-69,65,5,0.02377437,0.11261931,0.88738069,80722.204,9090.879,382381.56,0.85563604,1232131,15.2638,2.664752
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,70-74,70,5,0.04003915,0.18288072,0.81711928,71631.325,13099.988,327179.45,0.767881,849749.46,11.8628,2.635328
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,75-79,75,5,0.06793641,0.2916044,0.7083956,58531.337,17067.995,251234.88,0.6427207,522570.01,8.928,2.57313
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,80-84,80,5,0.11219582,0.43693276,0.56306724,41463.342,18116.692,161473.86,0.48705831,271335.13,6.544,2.469579
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,85-89,85,5,0.18028005,0.60730421,0.39269579,23346.649,14178.518,78647.184,0.32493984,109861.28,4.7057,2.313819
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,90-94,90,5,0.27257352,0.75978198,0.24021802,9168.131,6965.781,25555.603,0.19783066,31214.093,3.4046,2.0879
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,95-99,95,5,0.37448077,0.85965239,0.14034761,2202.35,1893.256,5055.682,0.10653158,5658.49,2.5693,1.85406
Azerbaijan,AZE,Medium,2025-2030,2028,3,Total,100+,100,-1,0.51275804,,,309.095,309.095,602.808,,602.808,1.9502,1.950238
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,0,0,1,0.01783615,0.01755364,0.98244636,100000,1755.364,98416.103,0.98092745,7482571.1,74.8257,0.097682
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,4-Jan,1,4,0.00096829,0.00386399,0.99613601,98244.636,379.617,392047.62,0.99635537,7384155,75.1609,1.547734
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,9-May,5,5,0.00053117,0.00265234,0.99734766,97865.019,259.571,488676.17,0.99752839,6992107.4,71.4464,2.5
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,14-Oct,10,5,0.00047415,0.00236803,0.99763197,97605.448,231.132,487468.35,0.99689877,6503431.2,66.6298,2.581953
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,15-19,15,5,0.00079092,0.00394719,0.99605281,97374.316,384.355,485956.6,0.99582463,6015962.9,61.7818,2.619448
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,20-24,20,5,0.00084791,0.00423064,0.99576936,96989.96,410.329,483927.55,0.99583841,5530006.3,57.0163,2.508708
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,25-29,25,5,0.00083171,0.00415006,0.99584994,96579.631,400.811,481913.64,0.9953783,5046078.7,52.2479,2.543695
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,30-34,30,5,0.00105451,0.00525931,0.99474069,96178.82,505.834,479686.38,0.99386713,4564165.1,47.455,2.612424
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,35-39,35,5,0.00144182,0.00718467,0.99281533,95672.986,687.379,476744.53,0.99128659,4084478.7,42.6921,2.642638
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,40-44,40,5,0.00212157,0.01055566,0.98944434,94985.607,1002.636,472590.46,0.98679469,3607734.2,37.9819,2.66857
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,45-49,45,5,0.00330772,0.0164131,0.9835869,93982.971,1542.552,466349.75,0.97882295,3135143.7,33.3586,2.688829
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,50-54,50,5,0.00542825,0.02680486,0.97319514,92440.419,2477.852,456473.84,0.96614966,2668793.9,28.8704,2.688218
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,55-59,55,5,0.00861916,0.04225358,0.95774642,89962.567,3801.24,441022.05,0.94471172,2212320.1,24.5916,2.68739
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,60-64,60,5,0.01454547,0.07033555,0.92966445,86161.327,6060.204,416638.7,0.91461753,1771298.1,20.5579,2.662136
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,65-69,65,5,0.02170827,0.10327272,0.89672728,80101.122,8272.261,381065.05,0.86567657,1354659.4,16.9119,2.64991
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,70-74,70,5,0.03711163,0.17043778,0.82956222,71828.861,12242.352,329879.09,0.79929609,973594.31,13.5544,2.60951
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,75-79,75,5,0.05322129,0.2355049,0.7644951,59586.509,14032.915,263671.07,0.71452159,643715.22,10.803,2.558492
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,80-84,80,5,0.08367189,0.34604673,0.65395327,45553.594,15763.672,188398.67,0.59752006,380044.15,8.3428,2.50253
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,85-89,85,5,0.12437739,0.47000492,0.52999508,29789.922,14001.41,112571.98,0.47248388,191645.48,6.4332,2.40186
Bangladesh,BGD,Medium,2025-2030,2028,3,Total,90-94,90,5,0.17691451,0.59599081,0.40400919,15788.512,9409.808,53188.447,0.3637933,79073.497,5.0083,2.263056
